[12, 16, 5, 9, 55, 4, 1]
[12, 5, 16, 9, 55, 4, 1]
[12, 5, 9, 16, 55, 4, 1]
[12, 5, 9, 16, 55, 4, 1]
[12, 5, 9, 16, 4, 55, 1]
[12, 5, 9, 16, 4, 1, 55]
[5, 12, 9, 16, 4, 1, 55]
[5, 9, 12, 16, 4, 1, 55]
[5, 9, 12, 16, 4, 1, 55]
[5, 9, 12, 4, 16, 1, 55]
[5, 9, 12, 4, 1, 16, 55]
[5, 9, 12, 4, 1, 16, 55]
[5, 9, 12, 4, 1, 16, 55]
[5, 9, 4, 12, 1, 16, 55]
[5, 9, 4, 1, 12, 16, 55]
[5, 9, 4, 1, 12, 16, 55]
[5, 4, 9, 1, 12, 16, 55]
[5, 4, 1, 9, 12, 16, 55]
[4, 5, 1, 9, 12, 16, 55]
[4, 1, 5, 9, 12, 16, 55]
[1, 4, 5, 9, 12, 16, 55]
